DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-23 19:00:00,20,39,19:00-19:15,5830.10,6245.80,3226.50,3225.76,4630.88,May%202023.xlsx,19:00
2023-05-21 02:45:00,3,6,02:45-03:00,5835.40,3964.30,3448.32,3448.32,6006.98,May%202023.xlsx,02:45
2023-05-31 01:30:00,2,4,01:30-01:45,5840.00,5329.10,3911.90,3911.9,6999.82,May%202023.xlsx,01:30
2023-05-29 11:45:00,12,24,11:45-12:00,5840.40,6991.80,3724.63,3724.63,4151.66,May%202023.xlsx,11:45
2023-05-15 20:30:00,21,42,20:30-20:45,5842.10,5607.20,4912.00,4912.0,3696.08,May%202023.xlsx,20:30
2023-05-30 05:45:00,6,12,05:45-06:00,5842.30,5836.50,4192.75,4192.75,5587.11,May%202023.xlsx,05:45
2023-05-04 19:00:00,20,39,19:00-19:15,5844.50,3756.40,3463.49,3463.49,7416.41,May%202023.xlsx,19:00
2023-05-18 03:30:00,4,8,03:30-03:45,5846.10,6988.20,5486.20,5486.2,2000.79,May%202023.xlsx,03:30
2023-05-23 14:30:00,15,30,14:30-14:45,5847.20,6895.90,3924.21,3924.21,5239.99,May%202023.xlsx,14:30
2023-05-06 18:45:00,19,38,18:45-19:00,5850.00,4075.40,3448.84,3448.83,6999.32,May%202023.xlsx,18:45
2023-05-15 22:30:00,23,46,22:30-22:45,5851.50,5005.90,4667.40,4667.4,3500.45,May%202023.xlsx,22:30
2023-05-15 20:45:00,21,42,20:45-21:00,5861.50,5575.60,4932.50,4932.5,3685.26,May%202023.xlsx,20:45
2023-05-02 21:00:00,22,43,21:00-21:15,5861.70,5081.10,3908.90,3908.9,4981.73,May%202023.xlsx,21:00
2023-05-31 01:15:00,2,3,01:15-01:30,5864.40,5127.50,3889.20,3889.2,8499.08,May%202023.xlsx,01:15
2023-05-09 17:30:00,18,36,17:30-17:45,5865.20,4812.70,3777.75,3777.75,5945.77,May%202023.xlsx,17:30
2023-05-23 02:45:00,3,6,02:45-03:00,5869.80,5403.70,3456.40,3456.4,8800.0,May%202023.xlsx,02:45
2023-05-17 18:15:00,19,37,18:15-18:30,5871.40,5723.80,3720.40,3341.61,5404.34,May%202023.xlsx,18:15
2023-05-23 06:00:00,7,13,06:00-06:15,5872.40,5762.40,4061.90,4061.9,8484.96,May%202023.xlsx,06:00
2023-05-19 04:15:00,5,9,04:15-04:30,5872.80,4332.40,3408.78,3408.78,6999.96,May%202023.xlsx,04:15
2023-05-24 00:30:00,1,2,00:30-00:45,5873.00,7793.20,5283.40,5283.4,2730.18,May%202023.xlsx,00:30
2023-05-23 07:15:00,8,15,07:15-07:30,5876.70,7139.00,4061.20,4061.2,6000.39,May%202023.xlsx,07:15
2023-05-17 04:15:00,5,9,04:15-04:30,5879.40,4696.00,3278.10,3278.1,6200.27,May%202023.xlsx,04:15
2023-05-24 16:00:00,17,33,16:00-16:15,5880.70,6452.70,3526.10,3526.1,3885.66,May%202023.xlsx,16:00
2023-05-15 23:45:00,24,48,23:45-24:00,5888.60,4661.80,4053.30,4053.3,4000.66,May%202023.xlsx,23:45
